Name,Market Value
Jan Oblak,€28.00m
Ivo Grbic,€3.50m
Horațiu Moldovan,€2.50m
Antonio Gomis,€150k
Sergio Mestre,€50k
Mario Hermoso,€25.00m
José María Giménez,€22.00m
Çağlar Söyüncü,€10.00m
Axel Witsel,€3.50m
Stefan Savic,€2.50m
César Azpilicueta,€2.00m
Gabriel Paulista,€2.00m
Marco Moreno,€400k
Ilias Kostis,€300k
Reinildo Mandava,€9.00m
Javi Galán,€7.00m
Nahuel Molina,€28.00m
Javier Boñar,€500k
Arthur Vermeeren,€25.00m
Rodrigo De Paul,€30.00m
Pablo Barrios,€25.00m
Koke,€12.00m
Saúl Ñíguez,€7.50m
Aitor Gismera,€250k
Sergio Guerrero,€200k
Marcos Llorente,€30.00m
Thomas Lemar,€10.00m
Samuel Lino,€30.00m
Rodrigo Riquelme,€25.00m
Yannick Carrasco,€14.00m
Marcos Paulo,€2.00m
Salim El Jebari,€1.00m
Vitolo,€100k
Rayane Belaid,-
Ángel Correa,€18.00m
Álex Calatrava,€200k
João Félix,€30.00m
Antoine Griezmann,€25.00m
Álvaro Morata,€16.00m
Memphis Depay,€10.00m
Adrián Niño,€500k
Abde Raihani,€300k
Marc-André ter Stegen,€28.00m
Iñaki Peña,€8.00m
Ander Astralaga,€1.00m
Diego Kochen,€100k
Áron Yaakobishvili,-
Ronald Araujo,€70.00m
Andreas Christensen,€40.00m
Pau Cubarsí,€30.00m
Eric García,€20.00m
Mikayil Faye,€10.00m
Iñigo Martínez,€5.00m
Alejandro Balde,€40.00m
Marcos Alonso,€2.00m
Jules Koundé,€45.00m
João Cancelo,€25.00m
Héctor Fort,€10.00m
Marc Casadó,€2.50m
Oriol Romeu,€2.00m
Pau Prim,€500k
Gavi,€90.00m
Pedri,€80.00m
Frenkie de Jong,€70.00m
Fermín López,€30.00m
İlkay Gündoğan,€15.00m
Sergi Roberto,€2.50m
Unai Hernández,€800k
Aleix Garrido,€500k
Raphinha,€50.00m
Ansu Fati,€25.00m
Abde Ezzalzouli,€9.00m
Ángel Alarcón,€300k
Lamine Yamal,€90.00m
Ferran Torres,€30.00m
João Félix,€30.00m
Vitor Roque,€30.00m
Robert Lewandowski,€15.00m
Marc Guiu,€7.50m
Pau Víctor,€1.50m
Thibaut Courtois,€28.00m
Andriy Lunin,€25.00m
Kepa Arrizabalaga,€12.00m
Lucas Cañizares,€400k
Mario de Luis,€400k
Diego Piñeiro,€50k
Fran González,-
Éder Militão,€60.00m
Antonio Rüdiger,€25.00m
David Alaba,€20.00m
Nacho Fernández,€3.00m
Álvaro Carrillo,€300k
Edgar Pujol,€250k
Jacobo Ramón,€100k
Ferland Mendy,€22.00m
Fran García,€15.00m
Daniel Carvajal,€12.00m
Lucas Vázquez,€4.00m
Vinícius Tobias,€3.00m
Álvaro Odriozola,€2.50m
Aurélien Tchouaméni,€100.00m
Mario Martín,€300k
Federico Valverde,€120.00m
Eduardo Camavinga,€100.00m
Toni Kroos,€10.00m
Luka Modric,€6.00m
Dani Ceballos,€6.00m
Théo Zidane,€300k
Jude Bellingham,€180.00m
Brahim Díaz,€40.00m
Nico Paz,€10.00m
Vinicius Junior,€180.00m
Rodrygo,€110.00m
Arda Güler,€30.00m
Gonzalo García,€1.00m
Joselu,€5.00m
Álvaro Rodríguez,€3.50m
Rui Silva,€8.00m
Claudio Bravo,€800k
Fran Vieites,€500k
Guilherme Fernandes,€150k
Germán García,€25k
Chadi Riad,€15.00m
Luiz Felipe,€13.00m
Germán Pezzella,€3.00m
Nobel Mendy,€1.00m
Marc Bartra,€1.00m
Sokratis Papastathopoulos,€700k
Ricardo Visus,€150k
Juan Miranda,€9.00m
Abner,€7.00m
Xavi Pleguezuelo,€100k
Héctor Bellerín,€4.00m
Youssouf Sabaly,€2.50m
Pablo Busto,€500k
Johnny Cardoso,€25.00m
Guido Rodríguez,€20.00m
Marc Roca,€9.00m
William Carvalho,€3.00m
Paul Akouokou,€1.50m
Sergi Altimira,€2.50m
Andrés Guardado,€1.00m
Ginés Sorroche,€300k
Quique Fernández,€150k
Pablo Fornals,€14.00m
Nabil Fekir,€10.00m
Isco,€8.00m
Dani Pérez,€500k
Abde Ezzalzouli,€9.00m
Luiz Henrique,€12.00m
Assane Diao,€12.00m
Aitor Ruibal,€3.50m
Rodri Sánchez,€3.00m
Juan Cruz,€1.50m
Ayoze Pérez,€7.00m
Borja Iglesias,€5.00m
Willian José,€5.00m
Chimy Ávila,€3.00m
Cédric Bakambu,€2.50m
Bono,€9.00m
Ørjan Nyland,€1.40m
Marko Dmitrovic,€900k
Alberto Flores,€300k
Matías Árbol,€100k
Rafael Romero,-
Loïc Badé,€14.00m
Kike Salas,€10.00m
Marcão,€4.00m
Federico Gattoni,€3.50m
Tanguy Nianzou,€3.00m
Sergio Ramos,€2.50m
Adrià Pedrosa,€6.00m
Marcos Acuña,€4.00m
Diego Hormigo,€200k
Oso,€200k
Juanlu Sánchez,€15.00m
Gonzalo Montiel,€10.00m
Jesús Navas,€2.50m
Darío Benavides,€150k
Boubakary Soumaré,€14.00m
Lucien Agoumé,€6.00m
Nemanja Gudelj,€3.50m
Fernando,€2.00m
Djibril Sow,€9.00m
Óliver Torres,€6.00m
Joan Jordán,€3.50m
Ivan Rakitic,€3.50m
Manu Bueno,€300k
Xavi Sintes,€200k
Lulo Dasilva,€150k
Alberto Collado,-
Hannibal,€9.00m
Stanis Idumbo,€800k
Miguel Capitas,€200k
Lucas Ocampos,€9.00m
Isra Domínguez,€150k
Papu Gómez,-
Dodi Lukébakio,€12.00m
Suso,€4.00m
Jesús Corona,€3.50m
Erik Lamela,€2.00m
Adnan Januzaj,€2.00m
Youssef En-Nesyri,€20.00m
Isaac Romero,€18.00m
Alejo Veliz,€9.00m
Rafa Mir,€2.50m
Mariano Díaz,€1.50m
Ibrahima Sow,€200k
Sergio Herrera,€6.00m
Aitor Fernández,€1.80m
Pablo Valencia,€200k
Dimitrios Stamatakis,€200k
David García,€10.00m
Jorge Herrando,€6.00m
Alejandro Catena,€4.00m
Unai García,€1.20m
Jorge Moreno,€500k
Juan Cruz,€2.20m
Johan Mojica,€2.20m
Jesús Areso,€7.50m
Rubén Peña,€2.20m
Nacho Vidal,€2.00m
Iker Muñoz,€5.00m
Lucas Torró,€4.00m
Jon Moncayola,€7.00m
Pablo Ibáñez,€2.50m
Darko Brasanac,€1.40m
Aimar Oroz,€15.00m
Javi Martínez,€1.20m
Asier Osambela,€500k
Xabi Huarte,€200k
Moi Gómez,€3.50m
José Manuel Arnáiz,€2.00m
Rubén García,€2.50m
Kike Barja,€2.00m
Iñigo Arguibide,€150k
Ante Budimir,€5.00m
Raúl García,€4.00m
Chimy Ávila,€3.00m
Max Svensson,€400k
Álex Remiro,€25.00m
Gaizka Ayesa,€300k
Unai Marrero,€300k
Aitor Fraga,€200k
Robin Le Normand,€40.00m
Igor Zubeldia,€22.00m
Jon Pacheco,€15.00m
Aritz Elustondo,€5.00m
Jon Martín,€2.00m
Kieran Tierney,€12.00m
Aihen Muñoz,€8.00m
Javi Galán,€7.00m
Diego Rico,€1.50m
Hamari Traoré,€6.00m
Jon Aramburu,€2.50m
Álvaro Odriozola,€2.50m
Iñaki Rupérez,€150k
Martín Zubimendi,€50.00m
Urko González de Zarate,€1.20m
Mikel Merino,€50.00m
Beñat Turrientes,€20.00m
Jon Ander Olasagasti,€1.20m
Brais Méndez,€40.00m
Arsen Zakharyan,€18.00m
Robert Navarro,€6.00m
Pablo Marín,€1.50m
Jon Magunazelaia,€1.00m
Ander Barrenetxea,€20.00m
Sheraldo Becker,€10.00m
Martín Merquelanz,€600k
Takefusa Kubo,€50.00m
Mohamed-Ali Cho,€10.00m
Álex Sola,€4.00m
Alberto Dadie,€250k
Mikel Oyarzabal,€45.00m
Umar Sadiq,€10.00m
André Silva,€6.00m
Jon Karrikaburu,€2.50m
Carlos Fernández,€1.50m
Bryan Fiabema,€300k
Unai Simón,€30.00m
Julen Agirrezabala,€5.00m
Álex Padilla,€200k
Dani Vivian,€25.00m
Aitor Paredes,€22.00m
Yeray Álvarez,€8.00m
Unai Egiluz,€100k
Yuri Berchiche,€1.80m
Imanol García de Albéniz,€1.20m
Iñigo Lekue,€3.00m
Óscar de Marcos,€1.50m
Hugo Rincón,€250k
Mikel Vesga,€4.00m
Peru Nolaskoain,€1.00m
Beñat Prados,€15.00m
Iñigo Ruiz de Galarreta,€5.00m
Ander Herrera,€2.00m
Dani García,€1.80m
Mikel Jauregizar,€800k
Oihan Sancet,€35.00m
Unai Gómez,€6.00m
Iker Muniain,€5.00m
Raúl García,€1.50m
Nico Williams,€60.00m
Álex Berenguer,€12.00m
Iñaki Williams,€25.00m
Adu Ares,€2.00m
Aingeru Olabarrieta,€500k
Gorka Guruzeta,€18.00m
Asier Villalibre,€2.50m
Javier Martón,€500k
Antonio Sivera,€6.00m
Jesús Owono,€1.00m
Adrián Rodríguez,€150k
Gaizka García,€100k
Rubén Montero,-
Abdel Abqar,€7.50m
Rafa Marín,€7.50m
Nikola Maras,€1.20m
Aleksandar Sedlar,€400k
Álvaro García,€150k
Javi López,€7.50m
Rubén Duarte,€3.00m
Victor Parada,€200k
Eneko Ortiz,€150k
Andoni Gorosabel,€5.00m
Nahuel Tenaglia,€2.00m
Egoitz Muñoz,€200k
Joseda Álvarez,€100k
Antonio Blanco,€7.50m
Carlos Protesoni,€1.50m
Ander Guevara,€5.00m
Jon Guridi,€4.00m
Tomás Mendes,€200k
Selu Diallo,€200k
Ianis Hagi,€2.00m
Ander Sánchez,€100k
Luis Rioja,€4.00m
Abde Rebbach,€800k
José de León,€200k
Álex Sola,€4.00m
Carlos Vicente,€4.00m
Xeber Alkain,€1.50m
Unai Ropero,€500k
Samu Aghehowa,€35.00m
Giuliano Simeone,€3.00m
Miguel de la Fuente,€2.50m
Jon Karrikaburu,€2.50m
Mamadou Sylla,€1.50m
Kike García,€1.00m
Joaquín Panichelli,€300k
Giorgi Gagua,€250k
Iván Villar,€1.20m
Agustín Marchesín,€800k
Vicente Guaita,€800k
Coke Carrillo,€200k
César Fernández,€200k
Ruly García,€150k
Unai Núñez,€7.00m
Carl Starfelt,€6.00m
Joseph Aidoo,€4.00m
Carlos Domínguez,€3.00m
Javi Rodríguez,€250k
Yoel Lago,€200k
Javi Domínguez,€150k
Manu Sánchez,€8.00m
Mihailo Ristic,€1.00m
Joel López,€200k
Óscar Mingueza,€8.00m
Javier Manquillo,€1.80m
Kevin Vázquez,€800k
Javi Rueda,€250k
Renato Tapia,€5.00m
Jailson,€1.50m
Damián Rodríguez,€500k
Gabri Veiga,€25.00m
Fran Beltrán,€6.00m
Luca de la Torre,€3.00m
Hugo Sotelo,€2.50m
Carlos Dotor,€2.00m
Jonathan Bamba,€9.00m
Williot Swedberg,€5.00m
Hugo Álvarez,€1.50m
Franco Cervi,€1.50m
Tadeo Allende,€4.00m
Carles Pérez,€2.50m
Miguel Rodríguez,€800k
Jørgen Strand Larsen,€25.00m
Anastasios Douvikas,€6.00m
Iago Aspas,€3.00m
Gonçalo Paciência,€1.50m
Giorgi Mamardashvili,€35.00m
Jaume Doménech,€800k
Cristian Rivero,€200k
Vicent Abril,-
Cristhian Mosquera,€30.00m
Yarek Gasiorowski,€15.00m
Cenk Özkacar,€4.00m
Mouctar Diakhaby,€2.00m
Gabriel Paulista,€2.00m
César Tárrega,€1.50m
Rubén Iranzo,€300k
José Gayà,€25.00m
Jesús Vázquez,€3.00m
Thierry Correia,€6.00m
Dimitri Foulquier,€2.50m
Pepelu,€22.00m
Hugo Guillamón,€8.00m
Javi Guerra,€20.00m
Ali Fadal,€100k
Javi Navarro,€25k
André Almeida,€15.00m
Selim Amallah,€1.50m
Pablo Gozálbez,€800k
Martín Tejón,€100k
Marco Camus,€300k
Diego López,€14.00m
Fran Pérez,€8.00m
Peter Federico,€3.00m
Sergi Canós,€2.50m
David Otorbi,€500k
Hugo González,€300k
Hugo Duro,€16.00m
Roman Yaremchuk,€3.50m
Alberto Marí,€1.50m
Mario Dominguez,€200k
Joselu Pérez,€100k
Filip Jørgensen,€20.00m
Iker Álvarez,€800k
Pepe Reina,€600k
Matteo Gabbia,€8.00m
Yerson Mosquera,€6.00m
Jorge Cuenca,€6.00m
Eric Bailly,€3.00m
Stefan Lekovic,€1.80m
Aïssa Mandi,€1.80m
Raúl Albiol,€1.50m
Antonio Espigares,€500k
Abraham del Moral,€100k
Alfonso Pedraza,€5.00m
Alberto Moreno,€1.80m
Carlos Romero,€1.50m
Juan Foyth,€15.00m
Adrià Altimira,€2.00m
Kiko Femenía,€1.40m
Daniel Budesca,-
Ramón Terrats,€4.00m
Étienne Capoue,€1.50m
Francis Coquelin,€1.50m
Santi Comesaña,€6.00m
Dani Parejo,€2.50m
Manu Trigueros,€1.50m
Dani Requena,€400k
Denis Suárez,€1.50m
Álex Baena,€40.00m
Gonçalo Guedes,€15.00m
Diego Collado,€800k
Yéremy Pino,€30.00m
Ilias Akhomach,€15.00m
Bertrand Traoré,€9.00m
Alexander Sørloth,€25.00m
Gerard Moreno,€10.00m
Ben Brereton Díaz,€8.00m
Álex Forés,€1.50m
José Luis Morales,€1.50m
Jorge Pascual,€1.00m
David Soria,€5.00m
Daniel Fuzato,€900k
Jorge Benito,€25k
Djordjije Medenica,-
Gastón Álvarez,€15.00m
Omar Alderete,€5.00m
Djené,€2.50m
Domingos Duarte,€2.00m
Stefan Mitrovic,€1.30m
Nabil Aberdin,€100k
Sergio Gimeno,€50k
Diego Rico,€1.50m
Fabrizio Angileri,€1.00m
Jordi Martín,€600k
Gorka Rivera,€100k
Alejandro Herranz,€25k
José Ángel Carmona,€3.50m
Juan Iglesias,€2.50m
Damián Suárez,€650k
Nemanja Maksimovic,€6.00m
Mauro Arambarri,€5.00m
Luis Milla,€3.50m
Carles Aleñá,€3.00m
Ilaix Moriba,€3.00m
Yellu Santiago,€1.00m
John Patrick,€200k
Facu Esnáider,€100k
Óscar Rodríguez,€2.50m
Santi García,€200k
Diego López,€100k
Alberto Risco,-
Jeremy Jorge,€200k
Yassin Tallal,€50k
Mason Greenwood,€25.00m
Portu,€3.50m
Enes Ünal,€18.00m
Borja Mayoral,€15.00m
Juanmi Latasa,€2.80m
Choco Lozano,€1.20m
Jaime Mata,€900k
Stole Dimitrievski,€4.00m
Dani Cárdenas,€1.80m
Miguel Ángel Morro,€600k
Florian Lejeune,€3.00m
Abdul Mumin,€2.50m
Aridane Hernández,€800k
Jorge Moreno,€500k
Martín Pascual,€300k
Alfonso Espino,€2.40m
Pep Chavarría,€2.00m
Iván Balliu,€2.00m
Andrei Rațiu,€1.40m
Miguel Crespo,€4.00m
Óscar Valentín,€4.00m
Kike Pérez,€3.00m
Unai López,€3.00m
Pathé Ciss,€2.50m
Diego Méndez,-
Randy Nteka,€1.50m
José Pozo,€1.00m
Oscar Trejo,€1.00m
Pablo Muñoz,€50k
Álvaro García,€3.00m
Bebé,€600k
Isi Palazón,€8.00m
Jorge de Frutos,€4.00m
Salvi Sánchez,€1.20m
Sergio Camello,€3.00m
Raúl de Tomás,€2.00m
Radamel Falcao,€800k
Predrag Rajković,€10.00m
Dominik Greif,€2.50m
Iván Cuéllar,€100k
Pere García,€50k
Alex Quevedo,-
Martin Valjent,€6.00m
José Copete,€2.80m
Siebe Van der Heyden,€2.00m
Antonio Raíllo,€2.00m
Matija Nastasic,€1.50m
David López,€100k
Toni Lato,€3.50m
Jaume Costa,€900k
Marcos Fernández,€50k
Pablo Maffeo,€5.00m
Giovanni González,€3.00m
Nacho Vidal,€2.00m
Miguelito,€50k
Carles Sogorb,-
Yuzún Ley,-
Samú Costa,€10.00m
Omar Mascarell,€1.00m
Sergi Darder,€6.00m
Manu Morlanes,€2.50m
Antonio Sánchez,€2.50m
Rubén Quintanilla,€50k
Dani Rodríguez,€1.00m
Daniel Luna,€300k
Nemanja Radonjić,€2.80m
Javi Llabrés,€700k
Amath Ndiaye,€1.50m
Vedat Muriqi,€12.00m
Cyle Larin,€4.00m
Abdón Prats,€1.80m
Pau Mascaró,-
Álvaro Valles,€12.00m
Aarón Escandell,€1.00m
Ale Gorrin,-
Álvaro Killane,-
Mika Mármol,€15.00m
Saúl Coco,€8.00m
Alex Suárez,€1.20m
Juanma Herzog,€1.00m
Eric Curbelo,€800k
Sergi Cardona,€6.00m
Daley Sinkgraven,€1.00m
Gabriel Palmero,-
Julián Araujo,€8.00m
Marvin Park,€2.00m
Álvaro Lemos,€700k
Máximo Perrone,€9.00m
Nuke Mfulu,€700k
Enzo Loiodice,€4.00m
Javi Muñoz,€3.00m
José Campaña,€1.50m
Fabio González,€500k
Iñaki González,-
Aboubacar Bassinga,-
Alberto Moleiro,€15.00m
Kirian Rodríguez,€12.00m
Jonathan Viera,€1.00m
Yadam Santana,-
Pejiño,€1.20m
Benito Ramírez,€600k
Munir El Haddadi,€2.50m
Sandro Ramírez,€1.50m
Sory Kaba,€1.50m
Marc Cardona,€1.40m
Cristian Herrera,€300k
Pau Ferrer,-
Paulo Gazzaniga,€4.00m
Toni Fuidias,€300k
Juan Carlos,€200k
Eric García,€20.00m
Santiago Bueno,€8.00m
Daley Blind,€3.00m
David López,€2.50m
Juanpe,€1.00m
Bernardo Espinosa,€550k
Eric Monjonell,€200k
Antal Yaakobishvili,-
Miguel Gutiérrez,€25.00m
Yan Couto,€25.00m
Arnau Martínez,€10.00m
Ibrahima Kébé,€500k
Aleix García,€25.00m
Yangel Herrera,€25.00m
Jhon Solís,€3.00m
Enric García,-
Selvi Clua,-
Iván Martín,€15.00m
Pablo Torre,€3.00m
Borja García,€800k
Ricard Artero,-
Toni Villa,€1.50m
Alex Almansa,-
Juan Arango,-
Jastin García,-
Savinho,€50.00m
Viktor Tsygankov,€30.00m
Portu,€3.50m
Valery Fernández,€2.50m
Iker Almena,-
Manu Vallejo,€1.50m
Artem Dovbyk,€35.00m
Cristhian Stuani,€1.80m
Carles Garrido,€50k
Luís Maximiano,€5.00m
Fernando Martínez,€700k
Diego Mariño,€300k
Bruno Iribarne,-
Srdjan Babic,€4.00m
Edgar González,€3.00m
César Montes,€3.00m
Kaiky,€2.00m
Chumi,€2.00m
Aleksandar Radovanovic,€900k
Paco Sanz,-
Sergio Akieme,€7.00m
Bruno Langa,€1.50m
Álex Centelles,€1.20m
Marc Pubill,€4.00m
Álex Pozo,€2.00m
Houboulang Mendes,€700k
Miguel Peña,-
Carlos Ballestero,-
Dion Lopy,€10.00m
Lucas Robertone,€7.00m
Iddrisu Baba,€2.20m
Arnau Puigmal,€1.80m
Gonzalo Melero,€1.80m
Marcos Peña,€1.00m
Gui Guedes,€900k
Martin Svidersky,€300k
Sergio Arribas,€10.00m
Jonathan Viera,€1.00m
Largie Ramazani,€5.00m
Lázaro,€3.50m
Luka Romero,€5.00m
Adrián Embarba,€1.80m
Arvin Appiah,€400k
Luis Suárez,€3.50m
Ibrahima Koné,€2.50m
Léo Baptistão,€1.50m
Choco Lozano,€1.20m
Marko Milovanovic,€900k
Marciano Sanca,€800k
Rachad Fettal,-
Augusto Batalla,€5.00m
André Ferreira,€800k
Marc Martínez,€300k
Adri López,€200k
Raúl Fernández,€200k
Pol Tristán,€100k
Fran Árbol,-
Bruno Méndez,€5.00m
Raúl Torrente,€3.00m
Kamil Piatkowski,€2.50m
Miguel Rubio,€1.50m
Ignasi Miquel,€1.20m
Jesús Vallejo,€1.00m
Miki Bosch,€100k
Álvaro Carreras,€7.00m
Faitout Maouassa,€4.00m
Carlos Neva,€2.50m
Miguel Ángel Brau,€150k
Ricard Sánchez,€2.50m
Wilson Manafá,€1.30m
Víctor Díaz,€400k
Gerard Gumbau,€3.00m
Martin Hongla,€2.50m
Njegos Petrovic,€2.50m
Gonzalo Villar,€3.00m
Sergio Ruiz,€2.00m
Lass Sangaré,€150k
Óscar Melendo,€2.00m
Mario González,€150k
Bryan Zaragoza,€12.00m
Myrto Uzuni,€8.00m
Kamil Jóźwiak,€2.00m
Alberto Perea,€450k
Sergio Rodelas,€200k
Facundo Pellistri,€8.00m
Antonio Puertas,€2.00m
Theo Corbeanu,€1.50m
José Callejón,€800k
Alberto Soro,€700k
Pablo Sáenz,€150k
Samu Aghehowa,€35.00m
Lucas Boyé,€7.00m
Matías Arezo,€7.00m
Shon Weissman,€1.70m
Famara Diédhiou,€500k
Eghosa Bello,€50k
Conan Ledesma,€5.00m
David Gil,€700k
Victor Aznar,€100k
Nando Almodóvar,€50k
Fali,€2.00m
Víctor Chust,€2.00m
Aiham Ousou,€1.80m
Jorge Meré,€1.00m
Luis Hernández,€500k
Momo Mbaye,€400k
Álex Morata,€150k
Adri Miranda,€100k
Adrián Salguero,€100k
Javi Hernández,€2.50m
Lucas Pires,€2.00m
Julio Cabrera,€150k
Iza Carcelén,€1.50m
Joseba Zaldua,€900k
Diadié Samassékou,€2.00m
José Mari,€200k
Rominigue Kouamé,€2.00m
Rubén Alcaraz,€1.50m
Álex Fernández,€1.50m
Gonzalo Escalante,€1.50m
Fede San Emeterio,€1.50m
Álvaro Bastida,€300k
Martín Calderón,€200k
Moussa Diakité,€150k
Robert Navarro,€6.00m
Juanmi,€6.00m
Darwin Machís,€2.00m
Brian Ocampo,€900k
José Antonio de la Rosa,€300k
Iván Alejo,€1.50m
Nico Njalla,€150k
Chris Ramos,€4.00m
Milutin Osmajic,€2.00m
Maxi Gómez,€2.00m
Rubén Sobrino,€1.40m
Roger Martí,€1.20m
Sergi Guardiola,€800k
Etta Eyong,€300k
Álvaro Negredo,€300k
Borja Vázquez,€50k
