"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"William Saliba",8e+07,22,2,4,3420,2,1,"DF"
"Gabriel Magalhães",7e+07,25,4,4,3044,4,0,"DF"
"Jakub Kiwior",3e+07,23,26,4,946,1,3,"DF"
"Oleksandr Zinchenko",3.8e+07,26,24,4,1722,1,2,"DF"
"Ben White",5.5e+07,25,5,4,2988,4,4,"DF"
"Takehiro Tomiyasu",3.5e+07,24,17,4,1149,2,1,"DF"
"Cédric Soares",2e+06,31,6,4,62,0,0,"DF"
"Declan Rice",1.2e+08,24,5,4,3225,7,8,"MF"
"Thomas Partey",1.8e+07,30,64,4,788,0,0,"MFDF"
"Jorginho",1.2e+07,31,10,4,921,0,2,"MF"
"Mohamed Elneny",3500000,31,36,4,28,0,0,"MF"
"Martin Ødegaard",1.1e+08,24,46,4,3091,8,10,"MF"
"Emile Smith Rowe",2.2e+07,23,5,4,353,0,1,"MF"
"Ethan Nwaneri",8e+06,16,5,4,14,0,0,"FW"
"Gabriel Martinelli",7e+07,22,4,4,2019,6,4,"FW"
"Leandro Trossard",3.5e+07,28,3,4,1649,12,1,"FWMF"
"Bukayo Saka",1.4e+08,21,5,4,2919,16,9,"FW"
"Reiss Nelson",1.5e+07,23,5,4,268,0,0,"FW"
"Kai Havertz",7e+07,24,16,4,2634,13,7,"FWMF"
"Gabriel Jesus",6.5e+07,26,4,4,1478,4,5,"FW"
"Eddie Nketiah",3e+07,24,5,4,1082,5,2,"FW"
"Pau Torres",4.5e+07,26,8,38,2464,2,0,"DF"
"Ezri Konsa",3.5e+07,25,5,38,3069,1,0,"DF"
"Diego Carlos",1.6e+07,30,4,38,1816,0,0,"DF"
"Tyrone Mings",1.3e+07,30,5,38,30,0,0,"DF"
"Clément Lenglet",1e+07,28,2,38,1153,0,1,"DF"
"Calum Chambers",4e+06,28,5,38,152,0,1,"MFDF"
"Finley Munroe",1e+05,18,5,38,4,0,0,"MF"
"Álex Moreno",1.3e+07,30,8,38,1031,2,0,"DF"
"Lucas Digne",1.2e+07,30,2,38,2410,1,3,"DF"
"Matty Cash",2.8e+07,25,26,38,2142,2,2,"DF"
"Kaine Kesler-Hayden",2200000,20,5,38,6,0,0,"MFDF"
"Boubacar Kamara",3.8e+07,23,2,38,1652,0,1,"MF"
"Leander Dendoncker",7e+06,28,3,38,119,1,0,"MF"
"Douglas Luiz",7e+07,25,4,38,2993,9,5,"MF"
"John McGinn",3e+07,28,39,38,2999,6,4,"FWMF"
"Youri Tielemans",2.5e+07,26,3,38,1622,2,6,"FWMF"
"Tim Iroegbunam",4e+06,20,5,38,164,0,0,"MF"
"Jacob Ramsey",3.5e+07,22,5,38,853,1,1,"FWMF"
"Nicolò Zaniolo",2e+07,24,10,38,839,2,0,"FWMF"
"Morgan Rogers",1.5e+07,21,5,38,638,3,1,"FWMF"
"Philippe Coutinho",7500000,31,4,38,25,0,0,"FWMF"
"Omari Kellyman",1e+06,17,5,38,37,0,0,"FW"
"Moussa Diaby",5.5e+07,24,2,38,2174,6,8,"FWMF"
"Leon Bailey",4.2e+07,25,53,38,2068,10,9,"FWMF"
"Bertrand Traoré",9e+06,27,67,38,11,0,0,"FWDF"
"Ollie Watkins",6.5e+07,27,5,38,3217,19,13,"FW"
"Jhon Durán",2e+07,19,12,38,475,5,0,"FWMF"
"Marcos Senesi",2.2e+07,26,1,96,2242,4,5,"DF"
"Lloyd Kelly",1.8e+07,24,5,96,1559,0,1,"DF"
"Chris Mepham",6e+06,25,29,96,617,0,1,"DF"
"James Hill",2e+06,21,5,96,76,0,0,"DF"
"Milos Kerkez",2e+07,19,27,96,1970,0,1,"DF"
"Max Aarons",1.6e+07,23,5,96,1237,0,1,"DF"
"Adam Smith",1e+06,32,5,96,2150,0,2,"DF"
"Tyler Adams",1.5e+07,24,11,96,121,0,0,"MF"
"Philip Billing",2.2e+07,27,21,96,1398,2,2,"MF"
"Alex Scott",2e+07,19,5,96,1014,1,1,"MF"
"Lewis Cook",1.2e+07,26,5,96,2786,0,3,"MF"
"Ryan Christie",1.2e+07,28,39,96,2907,0,5,"MF"
"Joe Rothwell",2500000,28,5,96,386,0,0,"MF"
"Romain Faivre",1.5e+07,25,2,96,41,0,0,"FWMF"
"Marcus Tavernier",2e+07,24,5,96,2118,3,4,"FW"
"Dango Ouattara",2e+07,21,67,96,1229,1,2,"FWDF"
"Luis Sinisterra",1.7e+07,24,12,96,699,2,2,"FWMF"
"Justin Kluivert",1.4e+07,24,7,96,1916,7,1,"FWMF"
"Jaidon Anthony",6e+06,23,5,96,152,0,0,"FW"
"Antoine Semenyo",1e+07,23,64,96,2105,8,2,"FW"
"David Brooks",8e+06,26,29,96,282,1,1,"FWMF"
"Dominic Sadi",1e+05,19,5,96,1,0,0,"FW"
"Dominic Solanke",4e+07,25,5,96,3325,19,3,"FW"
"Enes Ünal",1.8e+07,26,42,96,328,2,2,"FWMF"
"Kieffer Moore",2e+06,30,29,96,108,1,0,"FWMF"
"Nathan Collins",2.5e+07,22,60,98,2652,1,1,"DF"
"Kristoffer Ajer",1.5e+07,25,46,98,1832,2,1,"DF"
"Ethan Pinnock",1.2e+07,30,53,98,2521,2,0,"DF"
"Ben Mee",1e+06,33,5,98,1272,2,0,"DF"
"Rico Henry",2e+07,26,5,98,401,0,1,"DF"
"Aaron Hickey",2.8e+07,21,39,98,713,0,0,"DF"
"Mads Roerslev",1e+07,24,21,98,1985,1,2,"DF"
"Vitaly Janelt",2.2e+07,25,16,98,3054,1,3,"MFDF"
"Christian Nørgaard",1.8e+07,29,21,98,2505,2,1,"MF"
"Mathias Jensen",2.8e+07,27,21,98,2204,3,3,"MF"
"Josh Dasilva",1e+07,24,5,98,24,0,0,"FWDF"
"Frank Onyeka",9e+06,25,38,98,1161,1,2,"MF"
"Shandon Baptiste",2500000,25,173,98,229,1,1,"MF"
"Saman Ghoddos",2e+06,29,20,98,739,1,0,"DF"
"Myles Peart-Harris",7e+05,20,5,98,13,0,0,"MFDF"
"Kevin Schade",2.2e+07,21,16,98,333,2,1,"FWMF"
"Keane Lewis-Potter",1.5e+07,22,5,98,1441,3,1,"FWDF"
"Mikkel Damsgaard",1e+07,23,21,98,842,0,2,"MF"
"Bryan Mbeumo",4e+07,23,49,98,1960,9,6,"FW"
"Michael Olakigbe",6e+05,19,5,98,59,0,0,"FWDF"
"Ivan Toney",5e+07,27,5,98,1450,4,2,"FW"
"Yoane Wissa",2.8e+07,26,61,98,2493,12,3,"FW"
"Adam Webster",2e+07,28,5,91,1144,0,0,"DF"
"Jan Paul van Hecke",1.8e+07,23,7,91,2369,0,0,"DF"
"Igor",1.7e+07,25,4,91,1637,0,0,"DF"
"Lewis Dunk",1.2e+07,31,5,91,2869,3,1,"DF"
"Pervis Estupiñán",3e+07,25,30,91,1243,2,3,"DF"
"Valentín Barco",1.3e+07,19,1,91,307,0,0,"FWDF"
"Tariq Lamptey",1.2e+07,22,64,91,914,0,3,"FWDF"
"Joël Veltman",1e+07,31,7,91,1588,1,1,"DF"
"Odeluga Offiah",3e+05,20,5,91,128,0,0,"DF"
"Carlos Baleba",2.2e+07,19,49,91,1325,0,0,"MF"
"Billy Gilmour",1.8e+07,22,39,91,2120,0,1,"MF"
"Jack Hinshelwood",1.6e+07,18,5,91,869,3,0,"DF"
"Jakub Moder",1e+07,24,26,91,618,0,0,"MFDF"
"Pascal Groß",8e+06,32,16,91,3114,4,10,"MFDF"
"Mahmoud Dahoud",6e+06,27,16,91,452,0,1,"MF"
"James Milner",1e+06,37,5,91,773,0,2,"MFDF"
"Julio Enciso",2.2e+07,19,58,91,475,0,2,"FWMF"
"Facundo Buonanotte",1.8e+07,18,1,91,1364,3,1,"FWMF"
"Adam Lallana",1e+06,35,5,91,850,0,1,"FWMF"
"Kaoru Mitoma",4.5e+07,26,17,91,1486,3,4,"FW"
"Ansu Fati",2.5e+07,20,8,91,521,2,0,"FWMF"
"Simon Adingra",3e+07,21,37,91,2222,6,1,"FW"
"Solly March",1.8e+07,29,5,91,554,3,1,"FWDF"
"Evan Ferguson",5e+07,18,60,91,1367,6,0,"FW"
"João Pedro",4.5e+07,21,4,91,2045,9,3,"FWMF"
"Danny Welbeck",5e+06,32,5,91,1693,5,1,"FWMF"
"Mark O'Mahony",3e+05,18,60,91,63,0,0,"FW"
"Levi Colwill",5e+07,20,5,21,1797,1,1,"DF"
"Axel Disasi",4e+07,25,2,21,2579,2,0,"DF"
"Benoît Badiashile",3e+07,22,2,21,1338,0,1,"DF"
"Trevoh Chalobah",1.3e+07,24,5,21,952,1,0,"DF"
"Alfie Gilchrist",5e+06,19,5,21,207,1,0,"DF"
"Thiago Silva",1e+06,38,4,21,2527,3,1,"DF"
"Ian Maatsen",4e+07,21,7,21,209,0,0,"FWMF"
"Ben Chilwell",2.8e+07,26,5,21,756,0,1,"DF"
"Marc Cucurella",2.5e+07,25,8,21,1782,0,2,"DF"
"Reece James",4e+07,23,5,21,419,0,2,"DF"
"Malo Gusto",3.5e+07,20,2,21,1751,0,6,"DF"
"Moisés Caicedo",7.5e+07,21,30,21,2866,1,3,"MF"
"Roméo Lavia",3.5e+07,19,3,21,33,0,0,"MF"
"Lesley Ugochukwu",2.5e+07,19,2,21,301,0,0,"MF"
"Enzo Fernández",7.5e+07,22,1,21,2209,3,2,"MF"
"Conor Gallagher",5e+07,23,5,21,3128,5,7,"MF"
"Carney Chukwuemeka",1.5e+07,19,5,21,227,1,1,"FWMF"
"Cesare Casadei",1e+07,20,10,21,79,0,0,"FWMF"
"Alex Matos",1200000,18,5,21,1,0,0,"MF"
"Jimi Tauriainen",2e+05,19,5,21,1,0,0,"FW"
"Christopher Nkunku",6.5e+07,25,2,21,443,3,0,"FWMF"
"Raheem Sterling",3.5e+07,28,5,21,1978,8,4,"FWMF"
"Noni Madueke",2.8e+07,21,5,21,1053,5,2,"FW"
"Nicolas Jackson",3.5e+07,22,18,21,2799,14,5,"FW"
"Deivid Washington",9e+06,18,4,21,13,0,0,"FWDF"
"Mason Burstow",1800000,19,5,21,9,0,0,"FW"
"Marc Guéhi",3.8e+07,23,5,40,2021,0,1,"DF"
"Joachim Andersen",3.5e+07,27,21,40,3415,2,3,"DF"
"Chris Richards",1.2e+07,23,11,40,2094,1,1,"MFDF"
"James Tomkins",7e+05,34,5,40,10,0,0,"DF"
"Tyrick Mitchell",2.5e+07,23,5,40,3204,2,3,"MFDF"
"Daniel Muñoz",1.8e+07,27,12,40,1439,0,4,"MFDF"
"Nathaniel Clyne",1500000,32,5,40,1338,0,0,"DF"
"Joel Ward",1e+06,33,5,40,1980,0,1,"DF"
"Cheick Doucouré",3.5e+07,23,50,40,919,0,0,"MF"
"Adam Wharton",3e+07,19,5,40,1297,0,3,"MF"
"Jefferson Lerma",2e+07,28,12,40,2400,1,1,"MFDF"
"David Ozoh",7e+05,18,5,40,156,0,0,"MFDF"
"Will Hughes",9e+06,28,5,40,1891,0,1,"MF"
"Naouirou Ahamada",8e+06,21,2,40,349,0,0,"FWMF"
"Jeffrey Schlupp",7e+06,30,64,40,1352,2,2,"FWMF"
"Eberechi Eze",5.5e+07,25,5,40,2055,11,4,"FWMF"
"Matheus França",1.5e+07,19,4,40,232,0,1,"FWMF"
"Michael Olise",5.5e+07,21,2,40,1275,10,6,"FWMF"
"Jean-Philippe Mateta",2e+07,26,2,40,2282,16,5,"FW"
"Jordan Ayew",4e+06,31,64,40,2543,4,7,"FWMF"
"Jarrad Branthwaite",4.2e+07,21,5,77,3116,3,0,"DF"
"James Tarkowski",1.3e+07,30,5,77,3419,1,1,"DF"
"Ben Godfrey",1e+07,25,5,77,1120,0,0,"DF"
"Michael Keane",6e+06,30,5,77,439,1,0,"DF"
"Vitaliy Mykolenko",2.8e+07,24,24,77,2469,2,0,"DF"
"Ashley Young",5e+05,38,5,77,2280,0,0,"MFDF"
"Nathan Patterson",1.5e+07,21,39,77,1005,0,2,"DF"
"Séamus Coleman",5e+05,34,60,77,665,0,0,"DF"
"Amadou Onana",5e+07,21,3,77,2091,2,0,"MF"
"James Garner",2.2e+07,22,5,77,3004,1,2,"MF"
"Abdoulaye Doucouré",1e+07,30,50,77,2629,7,1,"FWMF"
"André Gomes",1e+07,30,6,77,508,1,0,"FWMF"
"Lewis Warrington",5e+05,20,5,77,1,0,0,"FW"
"Tyler Onyango",5e+05,20,5,77,1,0,0,"MF"
"Dwight McNeil",2.2e+07,23,5,77,2892,3,6,"FWMF"
"Arnaut Danjuma",1.3e+07,26,7,77,595,1,0,"FWMF"
"Lewis Dobbin",2500000,20,5,77,232,1,0,"MF"
"Jack Harrison",1.8e+07,26,5,77,2214,3,3,"FWMF"
"Dominic Calvert-Lewin",2.2e+07,26,5,77,2171,7,2,"FW"
"Beto",2e+07,25,115,77,951,3,0,"FW"
"Tosin Adarabioyo",2e+07,25,5,72,1617,2,0,"DF"
"Issa Diop",2e+07,26,2,72,1424,0,0,"DF"
"Calvin Bassey",1.6e+07,23,38,72,2303,1,0,"DF"
"Tim Ream",8e+05,35,11,72,1503,1,0,"DF"
"Antonee Robinson",2.5e+07,25,11,72,3265,0,6,"DF"
"Fodé Ballo-Touré",3e+06,26,18,72,71,0,0,"MFDF"
"Timothy Castagne",1.7e+07,27,3,72,2634,1,3,"DF"
"Kenny Tete",1.5e+07,27,7,72,867,1,0,"DF"
"João Palhinha",5.5e+07,28,6,72,2699,4,1,"MF"
"Harrison Reed",1.5e+07,28,5,72,1325,0,2,"MF"
"Saša Lukić",1e+07,26,32,72,1122,1,0,"MF"
"Tom Cairney",2e+06,32,39,72,1488,1,4,"MF"
"Andreas Pereira",2e+07,27,4,72,2613,3,7,"MF"
"Luke Harris",1e+06,18,29,72,75,0,0,"MF"
"Willian",3e+06,34,4,72,2053,4,2,"FW"
"Harry Wilson",1.7e+07,26,29,72,1620,4,6,"FW"
"Adama Traoré",9e+06,27,8,72,377,2,3,"FWMF"
"Aleksandar Mitrović",2.8e+07,28,32,72,33,0,0,"FW"
"Rodrigo Muniz",2e+07,22,4,72,1593,9,1,"FW"
"Raúl Jiménez",5e+06,32,15,72,1395,7,0,"FW"
"Carlos Vinícius",4e+06,28,4,72,315,2,0,"FW"
"Ibrahima Konaté",4.5e+07,24,2,7,1574,0,0,"DF"
"Virgil van Dijk",3e+07,32,7,7,3177,2,2,"DF"
"Joe Gomez",2.8e+07,26,5,7,1786,0,1,"DF"
"Jarell Quansah",2.2e+07,20,5,7,1190,2,0,"DF"
"Andrew Robertson",3e+07,29,39,7,1693,3,2,"DF"
"Owen Beck",1250000,20,29,7,8,0,0,"DF"
"Trent Alexander-Arnold",7e+07,24,5,7,2155,3,4,"DF"
"Conor Bradley",1.5e+07,20,73,7,753,1,3,"DF"
"Wataru Endo",1.3e+07,30,17,7,1722,1,0,"MF"
"Stefan Bajcetic",1.1e+07,18,8,7,26,0,0,"MF"
"Alexis Mac Allister",7.5e+07,24,1,7,2599,5,5,"MF"
"Curtis Jones",3.5e+07,22,5,7,1167,1,1,"MF"
"Harvey Elliott",3.5e+07,20,5,7,1352,3,6,"FWMF"
"Ryan Gravenberch",3.5e+07,21,7,7,1121,1,0,"MF"
"Thiago Alcántara",1e+07,32,8,7,6,0,0,"MF"
"Bobby Clark",1e+06,18,5,7,89,0,0,"MF"
"James McConnell",5e+05,18,5,7,4,0,0,"MF"
"Dominik Szoboszlai",7.5e+07,22,27,7,2104,3,2,"MF"
"Luis Díaz",7.5e+07,26,12,7,2629,8,5,"FW"
"Cody Gakpo",5e+07,24,7,7,1649,8,5,"FWMF"
"Mohamed Salah",5.5e+07,31,36,7,2534,18,10,"FW"
