"Name","Market.Value","Age","Nation","Team","Min","Gls","Ast","Pos","Nation_Ranking"
"Rúben Dias","€80.00m","26","Portugal","Manchester City","2559","0","0","DF","6"
"Manuel Akanji","€45.00m","28","Switzerland","Manchester City","2511","2","0","DFMF","19"
"Nathan Aké","€40.00m","28","Netherlands","Manchester City","2042","2","2","DF","7"
"John Stones","€38.00m","29","England","Manchester City","1064","1","0","DFMF","5"
"Aymeric Laporte","€20.00m","29","Spain","Manchester City","12","0","0","DF","8"
"Rico Lewis","€38.00m","18","England","Manchester City","809","2","0","DFMF","5"
"Kyle Walker","€13.00m","33","England","Manchester City","2767","0","4","DF","5"
"Issa Kaboré","€10.00m","22","Burkina Faso","Luton Town","1729","0","2","DF","67"
"Rodri","€120.00m","27","Spain","Manchester City","2931","8","9","MF","8"
"Bernardo Silva","€70.00m","28","Portugal","Manchester City","2578","6","9","MFFW","6"
"Kevin De Bruyne","€50.00m","32","Belgium","Manchester City","1221","4","10","MF","3"
"Jack Grealish","€60.00m","27","England","Manchester City","1009","3","1","FWMF","5"
"Phil Foden","€150.00m","23","England","Manchester City","2857","19","8","FWMF","5"
"Oscar Bobb","€25.00m","20","Norway","Manchester City","302","1","1","FWMF","46"
"Sergio Gómez","€10.00m","22","Spain","Manchester City","53","0","1","FWMF","8"
"Erling Haaland","€180.00m","23","Norway","Manchester City","2552","27","5","FW","46"
"Lisandro Martínez","€45.00m","25","Argentina","Manchester Utd","646","0","1","DF","1"
"Raphaël Varane","€20.00m","30","France","Manchester Utd","1375","1","0","DF","2"
"Harry Maguire","€18.00m","30","England","Manchester Utd","1653","2","2","DF","5"
"Victor Lindelöf","€15.00m","29","Sweden","Manchester Utd","1328","1","1","DF","28"
"Willy Kambwala","€5.00m","18","France","Manchester Utd","330","0","0","DF","2"
"Jonny Evans","€2.00m","35","Northern Ireland","Manchester Utd","1392","0","1","DF","73"
"Luke Shaw","€32.00m","28","England","Manchester Utd","959","0","0","DF","5"
"Diogo Dalot","€35.00m","24","Portugal","Manchester Utd","3174","2","3","DF","6"
"Aaron Wan-Bissaka","€20.00m","25","England","Manchester Utd","1780","0","2","DF","5"
"Sofyan Amrabat","€22.00m","26","Morocco","Manchester Utd","938","0","0","MFDF","12"
"Casemiro","€20.00m","31","Brazil","Manchester Utd","1982","1","2","MFDF","4"
"Kobbie Mainoo","€50.00m","18","England","Manchester Utd","1924","3","1","MF","5"
"Scott McTominay","€32.00m","26","Scotland","Manchester Utd","1901","7","1","MFFW","39"
"Christian Eriksen","€8.00m","31","Denmark","Manchester Utd","1141","1","2","MF","21"
"Donny van de Beek","€5.00m","26","Netherlands","Manchester Utd","3","0","0","DF","7"
"Daniel Gore","€900k","18","England","Manchester Utd","1","0","0","MF","5"
"Bruno Fernandes","€70.00m","28","Portugal","Manchester Utd","3118","10","8","MFFW","6"
"Mason Mount","€35.00m","24","England","Manchester Utd","516","1","0","MFFW","5"
"Marcus Rashford","€60.00m","25","England","Manchester Utd","2271","7","2","FW","5"
"Alejandro Garnacho","€45.00m","19","Argentina","Manchester Utd","2565","7","4","FW","1"
"Jadon Sancho","€30.00m","23","England","Manchester Utd","79","0","0","FWMF","5"
"Antony","€25.00m","23","Brazil","Manchester Utd","1324","1","1","FW","4"
"Amad Diallo","€18.00m","21","Côte d'Ivoire","Manchester Utd","390","1","1","FWMF","37"
"Facundo Pellistri","€8.00m","21","Uruguay","Manchester Utd","172","0","1","FWMF","14"
"Omari Forson","€2.00m","19","England","Manchester Utd","70","0","1","FW","5"
"Rasmus Højlund","€65.00m","20","Denmark","Manchester Utd","2158","10","2","FW","21"
"Anthony Martial","€10.00m","27","France","Manchester Utd","448","1","0","FW","2"
"Sven Botman","€45.00m","23","Netherlands","Newcastle Utd","1377","2","2","DF","7"
"Fabian Schär","€10.00m","31","Switzerland","Newcastle Utd","3054","4","1","DF","19"
"Dan Burn","€8.00m","31","England","Newcastle Utd","2726","2","2","DF","5"
"Jamaal Lascelles","€7.00m","29","England","Newcastle Utd","1080","1","0","DF","5"
"Lewis Hall","€18.00m","18","England","Newcastle Utd","781","1","0","DF","5"
"Matt Targett","€10.00m","27","England","Newcastle Utd","78","0","0","DF","5"
"Paul Dummett","€900k","31","Wales","Newcastle Utd","20","0","0","DF","29"
"Alex Murphy","€250k","19","Republic of Ireland","Newcastle Utd","13","0","0","DFFW","60"
"Kieran Trippier","€10.00m","32","England","Newcastle Utd","2236","1","10","DF","5"
"Emil Krafth","€2.50m","28","Sweden","Newcastle Utd","913","0","0","DF","28"
"Bruno Guimarães","€85.00m","25","Brazil","Newcastle Utd","3263","7","8","MF","4"
"Joelinton","€40.00m","26","Brazil","Newcastle Utd","1279","2","1","MFFW","4"
"Sandro Tonali","€38.00m","23","Italy","Newcastle Utd","438","1","0","MF","10"
"Joe Willock","€30.00m","23","England","Newcastle Utd","419","1","0","MF","5"
"Sean Longstaff","€25.00m","25","England","Newcastle Utd","2747","6","2","MF","5"
"Lewis Miley","€22.00m","17","England","Newcastle Utd","1202","1","3","MF","5"
"Elliot Anderson","€15.00m","20","England","Newcastle Utd","1027","0","2","MFFW","5"
"Matt Ritchie","€1.00m","33","Scotland","Newcastle Utd","128","1","0","FWMF","39"
"Joe White","€300k","20","England","Newcastle Utd","13","0","0","MF","5"
"Anthony Gordon","€60.00m","22","England","Newcastle Utd","2890","11","10","FW","5"
"Harvey Barnes","€35.00m","25","England","Newcastle Utd","802","5","3","FWMF","5"
"Amadou Diallo","€400k","20","England","Newcastle Utd","1","0","0","MF","5"
"Miguel Almirón","€20.00m","29","Paraguay","Newcastle Utd","1937","3","1","FW","58"
"Jacob Murphy","€15.00m","28","England","Newcastle Utd","1189","3","7","FWDF","5"
"Ben Parkinson","€250k","18","England","Newcastle Utd","25","0","0","FW","5"
"Alexander Isak","€75.00m","23","Sweden","Newcastle Utd","2255","21","2","FW","28"
"Callum Wilson","€13.00m","31","England","Newcastle Utd","991","9","1","FW","5"
"Murillo","€35.00m","21","Brazil","Nott'ham Forest","2789","0","2","DF","4"
"Andrew Omobamidele","€11.00m","21","Republic of Ireland","Nott'ham Forest","783","0","0","DF","60"
"Scott McKenna","€9.00m","26","Scotland","Nott'ham Forest","416","0","0","DF","39"
"Joe Worrall","€7.50m","26","England","Nott'ham Forest","439","0","0","DF","5"
"Willy Boly","€2.50m","32","Côte d'Ivoire","Nott'ham Forest","1438","2","1","DF","37"
"Felipe","€1.50m","34","Brazil","Nott'ham Forest","375","0","0","DF","4"
"Nuno Tavares","€15.00m","23","Portugal","Nott'ham Forest","457","0","0","DF","6"
"Harry Toffolo","€5.00m","27","England","Nott'ham Forest","1459","1","3","DF","5"
"Neco Williams","€17.00m","22","Wales","Nott'ham Forest","1637","0","1","DF","29"
"Ola Aina","€12.00m","26","Nigeria","Nott'ham Forest","1692","1","1","DF","38"
"Gonzalo Montiel","€10.00m","26","Argentina","Nott'ham Forest","801","0","2","DF","1"
"Serge Aurier","€3.70m","30","Côte d'Ivoire","Nott'ham Forest","833","0","2","DFMF","37"
"Ibrahim Sangaré","€30.00m","25","Côte d'Ivoire","Nott'ham Forest","1035","0","0","MF","37"
"Danilo","€28.00m","22","Brazil","Nott'ham Forest","1792","2","2","MF","4"
"Orel Mangala","€20.00m","25","Belgium","Nott'ham Forest","1563","1","0","MF","3"
"Cheikhou Kouyaté","€1.00m","33","Senegal","Nott'ham Forest","212","0","0","MF","18"
"Nicolás Domínguez","€17.00m","25","Argentina","Nott'ham Forest","1495","2","2","MFFW","1"
"Ryan Yates","€12.00m","25","England","Nott'ham Forest","1992","1","1","MF","5"
"Morgan Gibbs-White","€40.00m","23","England","Nott'ham Forest","3156","5","10","MFFW","5"
"Brandon Aguilera","€300k","20","Costa Rica","Nott'ham Forest","5","0","0","FW","52"
"Callum Hudson-Odoi","€18.00m","22","England","Nott'ham Forest","1854","8","1","FWMF","5"
"Anthony Elanga","€22.00m","21","Sweden","Nott'ham Forest","2433","5","9","FWMF","28"
"Taiwo Awoniyi","€28.00m","25","Nigeria","Nott'ham Forest","1042","6","3","FW","38"
"Chris Wood","€7.00m","31","New Zealand","Nott'ham Forest","1812","14","1","FW","107"
"Divock Origi","€5.00m","28","Belgium","Nott'ham Forest","606","0","1","FW","3"
"Rodrigo Ribeiro","€3.00m","18","Portugal","Nott'ham Forest","17","0","0","MFFW","6"
"Cristian Romero","€60.00m","25","Argentina","Tottenham","2790","5","0","DF","1"
"Micky van de Ven","€55.00m","22","Netherlands","Tottenham","2339","3","0","DF","7"
"Radu Drăgușin","€25.00m","21","Romania","Tottenham","429","0","0","DF","47"
"Davinson Sánchez","€17.00m","27","Colombia","Tottenham","77","0","0","DF","12"
"Eric Dier","€12.00m","29","England","Tottenham","201","0","0","DF","5"
"Ben Davies","€10.00m","30","Wales","Tottenham","1090","1","0","DF","29"
"Destiny Udogie","€45.00m","20","Italy","Tottenham","2391","2","3","DF","10"
"Pedro Porro","€45.00m","23","Spain","Tottenham","3089","3","7","DF","8"
"Yves Bissouma","€35.00m","26","Mali","Tottenham","2068","0","0","MF","50"
"Rodrigo Bentancur","€35.00m","26","Uruguay","Tottenham","1005","1","1","MF","14"
"Oliver Skipp","€15.00m","22","England","Tottenham","707","0","0","MFDF","5"
"Pape Matar Sarr","€45.00m","20","Senegal","Tottenham","2069","3","3","MF","18"
"Giovani Lo Celso","€16.00m","27","Argentina","Tottenham","506","2","2","MF","1"
"James Maddison","€70.00m","26","England","Tottenham","2135","4","9","MF","5"
"Dejan Kulusevski","€55.00m","23","Sweden","Tottenham","2762","8","3","FWMF","28"
"Timo Werner","€17.00m","27","Germany","Tottenham","809","2","3","FW","16"
"Bryan Gil","€14.00m","22","Spain","Tottenham","209","0","0","FWMF","8"
"Manor Solomon","€13.00m","24","Israel","Tottenham","199","0","2","FW","79"
"Jamie Donley","€1.50m","18","England","Tottenham","3","0","0","FW","5"
"Richarlison","€38.00m","26","Brazil","Tottenham","1491","11","4","FW","4"
"Dane Scarlett","€1.80m","19","England","Tottenham","22","0","0","FW","5"
"Nayef Aguerd","€35.00m","27","Morocco","West Ham","1857","1","0","DF","12"
"Kurt Zouma","€25.00m","28","France","West Ham","2838","3","0","DF","2"
"Konstantinos Mavropanos","€20.00m","25","Greece","West Ham","1500","1","0","DF","51"
"Thilo Kehrer","€10.00m","26","Germany","West Ham","22","0","0","DFMF","16"
"Kaelan Casey","€1.00m","18","England","West Ham","1","0","0","DF","5"
"Angelo Ogbonna","€700k","35","Italy","West Ham","635","0","0","DF","10"
"Emerson","€12.00m","24","Brazil","Tottenham","1161","1","0","DF","4"
"Aaron Cresswell","€900k","33","England","West Ham","436","0","0","DFFW","5"
"Ben Johnson","€8.00m","23","England","West Ham","544","0","0","DFFW","5"
"Vladimír Coufal","€8.00m","30","Czech Republic","West Ham","3132","0","7","DF","34"
"Edson Álvarez","€35.00m","25","Mexico","West Ham","2377","1","1","MF","15"
"James Ward-Prowse","€30.00m","28","England","West Ham","3001","7","7","MF","5"
"Lucas Paquetá","€65.00m","25","Brazil","West Ham","2622","4","6","FWMF","4"
"Pablo Fornals","€14.00m","27","Spain","West Ham","426","0","0","MFFW","8"
"George Earthy","€1.00m","18","England","West Ham","34","1","0","FW","5"
"Saïd Benrahma","€20.00m","27","Algeria","West Ham","620","0","1","FWMF","44"
"Maxwel Cornet","€9.00m","26","Côte d'Ivoire","West Ham","112","1","0","MFFW","37"
"Mohammed Kudus","€50.00m","22","Ghana","West Ham","2484","8","6","FWMF","64"
"Jarrod Bowen","€50.00m","26","England","West Ham","3019","16","6","FW","5"
"Danny Ings","€8.00m","31","England","West Ham","404","1","0","FW","5"
"Michail Antonio","€4.00m","33","Jamaica","West Ham","1695","6","2","FW","53"
"Divin Mubama","€1.00m","18","England","West Ham","80","0","0","FW","5"
"Santiago Bueno","€8.00m","24","Uruguay","Wolves","822","0","0","DF","14"
"Craig Dawson","€2.00m","33","England","Wolves","2209","1","1","DF","5"
"Rayan Aït-Nouri","€35.00m","22","Algeria","Wolves","2329","2","1","DFMF","44"
"Hugo Bueno","€6.00m","20","Spain","Wolves","741","0","0","DFMF","8"
"Nélson Semedo","€12.00m","29","Portugal","Wolves","3084","0","1","DFMF","6"
"Matt Doherty","€3.00m","31","Republic of Ireland","Wolves","1150","1","0","DFMF","60"
"Mario Lemina","€10.00m","29","Gabon","Wolves","2968","4","1","MF","83"
"Boubacar Traoré","€6.00m","21","Mali","Wolves","819","0","0","MF","50"
"João Gomes","€35.00m","22","Brazil","Wolves","2649","2","1","MF","4"
"Jean-Ricner Bellegarde","€15.00m","25","France","Wolves","958","2","1","MFFW","2"
"Tommy Doyle","€10.00m","21","England","Wolves","1222","0","0","MF","5"
"Tawanda Chirewa","€500k","19","Zimbabwe","Wolves","145","0","0","MFFW","129"
"Pedro Neto","€55.00m","23","Portugal","Wolves","1516","2","9","FWMF","6"
"Pablo Sarabia","€10.00m","31","Spain","Wolves","1745","4","7","MFFW","8"
"Matheus Cunha","€45.00m","24","Brazil","Wolves","2440","12","7","FWMF","4"
"Fábio Silva","€11.00m","21","Portugal","Wolves","264","0","0","FW","6"
"Sasa Kalajdzic","€5.00m","26","Austria","Wolves","166","2","0","FW","25"
"Nathan Fraser","€1.00m","18","Republic of Ireland","Wolves","186","0","0","FW","60"
"Leon Chiwome","€1.00m","17","England","Wolves","174","0","0","FW","5"
"Jordan Beyer","€13.00m","23","Germany","Burnley","1234","0","1","DF","16"
"Ameen Al-Dakhil","€12.00m","21","Belgium","Burnley","1056","1","0","DF","3"
"Dara O'Shea","€7.00m","24","Republic of Ireland","Burnley","2892","3","4","DF","60"
"Hjalmar Ekdal","€7.00m","24","Sweden","Burnley","437","0","0","DF","28"
"Maxime Estève","€7.00m","21","France","Burnley","1309","0","0","DF","2"
"Hannes Delcroix","€4.00m","24","Belgium","Burnley","589","0","0","DF","3"
"Charlie Taylor","€3.00m","29","England","Burnley","2331","1","1","DF","5"
"Lorenz Assignon","€10.00m","23","Togo","Burnley","1234","1","2","DF","120"
"Connor Roberts","€7.00m","27","Wales","Burnley","823","0","1","DF","29"
"Vitinho","€5.00m","24","Brazil","Burnley","2314","0","2","DFMF","4"
"Sander Berge","€20.00m","25","Norway","Burnley","3005","1","2","MF","46"
"Josh Cullen","€10.00m","27","Republic of Ireland","Burnley","2057","2","3","MF","60"
"Han-Noah Massengo","€4.00m","22","France","Burnley","16","0","0","MFDF","2"
"Jack Cork","€800k","34","England","Burnley","27","0","0","MF","5"
"Josh Brownhill","€15.00m","27","England","Burnley","2252","4","2","MF","5"
"Aaron Ramsey","€15.00m","20","England","Burnley","527","0","0","MFFW","5"
"Anass Zaroury","€9.00m","22","Morocco","Burnley","152","0","0","FWMF","12"
"Mike Trésor","€12.00m","24","Belgium","Burnley","420","0","0","FWMF","3"
"Jacob Bruun Larsen","€8.00m","24","Denmark","Burnley","1249","6","0","MFFW","21"
"Wilson Odobert","€10.00m","18","France","Burnley","2098","3","2","MFFW","2"
"Luca Koleosho","€7.00m","18","Italy","Burnley","974","1","1","MFFW","10"
"Benson Manuel","€5.00m","26","Angola","Burnley","116","0","0","MFFW","92"
"Nathan Redmond","€5.00m","29","England","Burnley","142","0","0","FWMF","5"
"Lyle Foster","€13.00m","22","South Africa","Burnley","1899","5","3","FWMF","59"
"David Datro Fofana","€12.00m","20","Côte d'Ivoire","Burnley","879","4","1","FW","37"
"Zeki Amdouni","€12.00m","22","Switzerland","Burnley","1953","5","1","FW","19"
"Michael Obafemi","€2.20m","23","Republic of Ireland","Burnley","20","0","0","FWMF","60"
"Auston Trusty","€7.00m","24","United States","Sheffield Utd","2572","0","0","DF","11"
"Mason Holgate","€5.00m","26","England","Sheffield Utd","710","0","0","DF","5"
"John Egan","€4.00m","30","Republic of Ireland","Sheffield Utd","482","0","0","DF","60"
"Jack Robinson","€1.00m","29","England","Sheffield Utd","2885","1","1","DF","5"
"Chris Basham","€300k","35","England","Sheffield Utd","321","0","0","DFMF","5"
"Luke Thomas","€6.00m","22","England","Sheffield Utd","917","0","0","DF","5"
"Yasser Larouci","€3.00m","22","Algeria","Sheffield Utd","531","0","0","DF","44"
"Max Lowe","€2.50m","26","England","Sheffield Utd","503","0","0","DFMF","5"
"Rhys Norrington-Davies","€2.50m","24","Wales","Sheffield Utd","110","0","0","DF","29"
"Jayden Bogle","€3.80m","23","England","Sheffield Utd","2788","3","0","DF","5"
"George Baldock","€2.50m","30","Greece","Sheffield Utd","969","0","1","DF","51"
"Sam Curtis","€150k","17","Republic of Ireland","Sheffield Utd","28","0","0","DF","60"
"Gustavo Hamer","€15.00m","26","Netherlands","Sheffield Utd","2910","4","6","MF","7"
"Tom Davies","€5.00m","25","England","Sheffield Utd","221","0","0","MF","5"
"Andre Brooks","€2.50m","19","England","Sheffield Utd","938","0","0","MFDF","5"
"Oliver Norwood","€1.00m","32","Northern Ireland","Sheffield Utd","1440","1","0","MF","73"
"Ben Osborn","€1.00m","28","England","Sheffield Utd","1367","0","2","DFMF","5"
"John Fleck","€900k","31","Scotland","Sheffield Utd","92","0","0","MFDF","39"
"Oliver Arblaster","€450k","19","England","Sheffield Utd","943","0","0","MF","5"
"Sydie Peck","€200k","18","England","Sheffield Utd","10","0","0","MF","5"
"Bénie Traoré","€4.00m","20","Côte d'Ivoire","Sheffield Utd","387","0","0","FWMF","37"
"Rhian Brewster","€3.00m","23","England","Sheffield Utd","346","0","0","FWMF","5"
"William Osula","€3.00m","19","Denmark","Sheffield Utd","786","0","0","FW","21"
"Daniel Jebbison","€1.00m","19","England","Sheffield Utd","21","0","0","FW","5"
"Antwoine Hackford","€500k","19","England","Sheffield Utd","13","0","0","FW","5"
"Teden Mengi","€12.00m","21","England","Luton Town","2469","1","0","DF","5"
"Gabriel Osho","€3.00m","24","Nigeria","Luton Town","1846","2","0","DF","38"
"Tom Lockyer","€2.50m","28","Wales","Luton Town","1169","1","1","DF","29"
"Reece Burke","€1.80m","26","England","Luton Town","1660","0","4","DF","5"
"Amari'i Bell","€2.50m","29","Jamaica","Luton Town","1720","0","0","DF","53"
"Issa Kaboré","€10.00m","22","Burkina Faso","Luton Town","1729","0","2","DF","67"
"Daiki Hashioka","€2.00m","24","Japan","Luton Town","595","0","0","DF","17"
"Marvelous Nakamba","€5.00m","29","Zimbabwe","Luton Town","1130","0","0","MF","129"
"Pelly Ruddock Mpanzu","€1.50m","30","DR Congo","Luton Town","1101","0","0","MF","61"
"Albert Sambi Lokonga","€15.00m","23","Belgium","Luton Town","1303","1","3","MF","3"
"Ross Barkley","€8.00m","29","England","Luton Town","2618","5","4","MF","5"
"Jordan Clark","€1.00m","29","England","Luton Town","1304","1","1","MF","5"
"Luke Berry","€400k","31","England","Luton Town","323","2","1","MFDF","5"
"Alfie Doughty","€10.00m","23","England","Luton Town","2925","2","8","DF","5"
"Fred Onyedinma","€500k","26","England","Luton Town","407","0","0","DFMF","5"
"Zack Nelson","€100k","18","England","Luton Town","7","0","0","MFDF","5"
"Chiedozie Ogbene","€8.00m","26","Republic of Ireland","Luton Town","1995","4","1","MFDF","60"
"Tahith Chong","€6.00m","23","Netherlands","Luton Town","1982","4","0","MFFW","7"
"Andros Townsend","€1.80m","32","England","Luton Town","1210","1","3","MFFW","5"
"Carlton Morris","€13.00m","27","England","Luton Town","2862","11","4","FWMF","5"
"Elijah Adebayo","€12.00m","25","England","Luton Town","1419","10","0","FW","5"
"Jacob Brown","€4.00m","25","Scotland","Luton Town","1019","2","0","MFFW","39"
"Cauley Woodrow","€1.00m","28","England","Luton Town","427","1","1","FWMF","5"
